Edge Name,Interface Name,ISP Name
"TR689 Zanesville, OH",GE1,Spectrum Business
"TR689 Zanesville, OH",GE2,AT&T U-verse
"TR690 Twin Falls, ID",GE1,Sparklight
"TR692 Hobbs, NM",GE1,TDS Telecom
"TR699 West Des Moines, IA",GE1,Mediacom Cable
"TR702 Bloomington, IL",GE2,Frontier Communications
"TR703 Marion, IL",GE1,Mediacom Cable
"TR705 Troy, OH",GE1,Spectrum Business
"TR706 Vincennes, IN",GE1,Sparklight
"TR707 Conway, AR",GE1,Conway Corporation
"TR708 Millsboro, DE",GE1,Mediacom Cable
"TR709 Lufkin, TX",GE2,Consolidated Communications
"TR710 Rogers, AR",GE1,Cox Business
"TR710 Rogers, AR",GE2,AT&T Internet Services
"TR717 Bowling Green, KY",GE1,Spectrum Business
"TR721 Marysville, OH",GE1,Spectrum Business
"TR721 Marysville, OH",GE2,CenturyLink
"TR724 Bristol, VA",GE1,CenturyLink
"TR726 Casa Grande, AZ",GE1,Cox Business
"TR728 Georgetown, KY",GE1,Spectrum Business
"TR729 Oxford, AL",GE1,AT&T U-verse
"TR729 Oxford, AL",GE2,Sparklight
"TR731 Rialto, CA",GE1,AT&T Services
"TR745 Apple Valley, MN",GE1,Spectrum Business
"TR746 Terrell, TX",GE2,AT&T Internet Services
"TR748 Charleston, WV",GE1,Suddenlink Communications
"TR753 Spring Hill, TN",GE1,Spectrum Business
"TR758 Roswell, NM",GE2,Sparklight
